let,num,pref_en,cityname_en,pref_ja,cityname_ja
夫,3,aomori,tohoku,青森県,上北郡東北町
湖,29,shiga,nagahama,滋賀県,長浜市
浪,26,aomori,aomori,青森県,青森市
菱,10,kagoshima,isa,鹿児島県,伊佐市
室,20,nara,uda,奈良県,宇陀市
甘,2,fukuoka,asakura,福岡県,朝倉市
逗,1,kanagawa,zushi,神奈川県,逗子市
声,5,kanagawa,miura,神奈川県,三浦市
網,24,hyogo,himeji,兵庫県,姫路市
諸,7,nagasaki,iki,長崎県,壱岐市
晴,8,osaka,sakaiminami,大阪府,堺市南区
岬,18,chiba,isumi,千葉県,いすみ市
毘,3,fukui,fukui,福井県,福井市
沙,3,fukui,fukui,福井県,福井市
外,14,kyoto,kyotanabe,京都府,京田辺市
坊,6,kyoto,fushimi,京都府,京都市伏見区
槻,7,miyagi,shibata,宮城県,柴田郡柴田町
蓑,4,toyama,takaoka,富山県,高岡市
菩,10,osaka,sakaihigashi,大阪府,堺市東区
提,10,osaka,sakaihigashi,大阪府,堺市東区
巻,7,aichi,toyohashi,愛知県,豊橋市
渋,2,kanagawa,hadano,神奈川県,秦野市
栃,17,niigata,nagaoka,新潟県,長岡市
秦,83,kyoto,ukyo,京都府,京都市右京区
落,7,miyagi,taiwa,宮城県,黒川郡大和町
曲,28,akita,daisen,秋田県,大仙市
張,3,miyagi,marumori,宮城県,伊具郡丸森町
丹,36,kyoto,kyotango,京都府,京丹後市
愛,12,hokkaido,obihiro,北海道,帯広市
甲,46,shiga,koka,滋賀県,甲賀市
厚,26,hokkaido,atsubetsu,北海道,札幌市厚別区
ま,3,shimane,masuda,島根県,益田市
げ,1,kanagawa,atsugi,神奈川県,厚木市
依,5,shizuoka,fuji,静岡県,富士市
知,21,aichi,konan,愛知県,江南市
鳶,1,kanagawa,atsugi,神奈川県,厚木市
妻,24,iwate,morioka,岩手県,盛岡市
及,1,kanagawa,atsugi,神奈川県,厚木市
引,29,fukushima,tamura,福島県,田村市
温,49,ishikawa,kaga,石川県,加賀市
吾,13,nagasaki,unzen,長崎県,雲仙市
蓼,2,kanagawa,ayase,神奈川県,綾瀬市
易,1,kanagawa,isehara,神奈川県,伊勢原市
粕,15,gunma,maebashi,群馬県,前橋市
歌,19,hokkaido,esashi,北海道,枝幸郡枝幸町
端,14,kyoto,sakyo,京都府,京都市左京区
串,5,kagoshima,kanoya,鹿児島県,鹿屋市
波,115,tokushima,awa,徳島県,阿波市
糟,1,kanagawa,isehara,神奈川県,伊勢原市
社,12,shimane,izumo,島根県,出雲市
怒,2,tochigi,nikko,栃木県,日光市
壗,1,kanagawa,minamiashigara,神奈川県,南足柄市
雄,19,akita,akita,秋田県,秋田市
雨,2,gunma,nakanojo,群馬県,吾妻郡中之条町
班,1,kanagawa,minamiashigara,神奈川県,南足柄市
基,22,hokkaido,obihiro,北海道,帯広市
綾,16,osaka,sakai,大阪府,堺市堺区
一,241,osaka,sakai,大阪府,堺市堺区
色,30,hyogo,sumoto,兵庫県,洲本市
動,4,tokushima,tokushima,徳島県,徳島市
麗,2,saitama,hidaka,埼玉県,日高市
虫,3,shiga,koka,滋賀県,甲賀市
半,13,osaka,sakai,大阪府,堺市堺区
雑,9,wakayama,wakayama,和歌山県,和歌山市
寄,4,aichi,konan,愛知県,江南市
庶,1,kanagawa,matsuda,神奈川県,足柄上郡松田町
惣,2,aichi,kita,愛知県,名古屋市北区
玄,6,kyoto,kita,京都府,京都市北区
湯,8,hiroshima,saeki,広島県,広島市佐伯区
触,100,nagasaki,iki,長崎県,壱岐市
皆,3,gunma,maebashi,群馬県,前橋市
強,2,gunma,ota,群馬県,太田市
羅,13,kyoto,kyotanabe,京都府,京田辺市
雲,19,shimane,matsue,島根県,松江市
茶,6,hokkaido,kushiro,北海道,釧路市
塔,18,nara,gojo,奈良県,五條市
涌,9,ishikawa,kanazawa,石川県,金沢市
底,5,miyagi,kami,宮城県,加美郡加美町
肥,21,saga,karatsu,佐賀県,唐津市
増,11,akita,yokote,秋田県,横手市
煤,5,kyoto,kyotanabe,京都府,京田辺市
梨,4,fukushima,shirakawa,福島県,白河市
笂,1,gunma,maebashi,群馬県,前橋市
胡,2,aichi,tahara,愛知県,田原市
女,4,aichi,nakagawa,愛知県,名古屋市中川区
表,16,fukushima,shirakawa,福島県,白河市
面,4,mie,kuwana,三重県,桑名市
込,5,tokyo,ota,東京都,大田区
膳,6,shiga,otsu,滋賀県,大津市
沖,7,miyagi,wakuya,宮城県,遠田郡涌谷町
閑,6,kyoto,higashiyama,京都府,京都市東山区
総,9,kyoto,kita,京都府,京都市北区
路,47,kyoto,fushimi,京都府,京都市伏見区
問,3,hokkaido,horonobe,北海道,天塩郡幌延町
苗,18,hokkaido,higashi,北海道,札幌市東区
橳,1,gunma,maebashi,群馬県,前橋市
気,29,tottori,tottori,鳥取県,鳥取市
鼻,13,kyoto,yamashina,京都府,京都市山科区
樋,5,kyoto,sakyo,京都府,京都市左京区
漆,24,miyagi,kami,宮城県,加美郡加美町
暮,2,tokyo,arakawa,東京都,荒川区
時,2,ishikawa,wajima,石川県,輪島市
房,5,gifu,seki,岐阜県,関市
茂,129,kyoto,kita,京都府,京都市北区
供,3,okayama,kita,岡山県,岡山市北区
足,17,tochigi,nikko,栃木県,日光市
押,13,hyogo,nishi,兵庫県,神戸市西区
請,2,chiba,kisaradsu,千葉県,木更津市
疋,2,fukui,awara,福井県,あわら市
嘉,4,saga,saga,佐賀県,佐賀市
類,5,gunma,takasaki,群馬県,高崎市
塙,2,gunma,takasaki,群馬県,高崎市
剣,2,hyogo,kasai,兵庫県,加西市
鞘,2,aomori,hirosaki,青森県,弘前市
銀,3,aomori,hachinohe,青森県,八戸市
竜,7,aichi,okazaki,愛知県,岡崎市
筑,13,kochi,sukumo,高知県,宿毛市
椿,3,nara,nara,奈良県,奈良市
乗,89,kyoto,sakyo,京都府,京都市左京区
榛,43,nara,uda,奈良県,宇陀市
聖,64,ishikawa,kaga,石川県,加賀市
檜,19,hokkaido,setana,北海道,久遠郡せたな町
物,34,kochi,kami,高知県,香美市
冷,1,gunma,takasaki,群馬県,高崎市
棟,5,kyoto,higashiyama,京都府,京都市東山区
弓,18,ehime,kamijima,愛媛県,越智郡上島町
奥,26,aichi,inazawa,愛知県,稲沢市
漢,4,okayama,takahashi,岡山県,高梁市
綿,1,gunma,takasaki,群馬県,高崎市
織,6,iwate,tono,岩手県,遠野市
姫,40,miyagi,kurihara,宮城県,栗原市
曾,2,osaka,kita,大阪府,大阪市北区
琴,25,hokkaido,kita,北海道,札幌市北区
巴,1,gunma,kiryu,群馬県,桐生市
乾,3,kyoto,ukyo,京都府,京都市右京区
喜,9,fukushima,koriyama,福島県,郡山市
定,3,fukui,sakai,福井県,坂井市
華,8,ibaraki,kitaibaraki,茨城県,北茨城市
此,1,gunma,isesaki,群馬県,伊勢崎市
韮,6,shizuoka,izunokuni,静岡県,伊豆の国市
乃,5,shimane,matsue,島根県,松江市
ろ,1,gunma,isesaki,群馬県,伊勢崎市
せ,2,fukui,eiheiji,福井県,吉田郡永平寺町
宗,4,saitama,shiki,埼玉県,志木市
除,1,gunma,isesaki,群馬県,伊勢崎市
養,11,tokushima,naruto,徳島県,鳴門市
舘,27,aomori,sotogahama,青森県,東津軽郡外ケ浜町
鷲,7,gifu,gujo,岐阜県,郡上市
切,6,aichi,toyota,愛知県,豊田市
ス,2,hokkaido,tobetsu,北海道,石狩郡当別町
バ,1,gunma,ota,群馬県,太田市
ル,4,hokkaido,asahikawa,北海道,旭川市
只,2,iwate,kamaishi,岩手県,釜石市
祢,1,gunma,ota,群馬県,太田市
右,4,kochi,shimanto,高知県,高岡郡四万十町
衛,7,wakayama,wakayama,和歌山県,和歌山市
溜,1,gunma,ota,群馬県,太田市
備,11,okayama,kurashiki,岡山県,倉敷市
藪,6,kyoto,ukyo,京都府,京都市右京区
脇,14,tokushima,mima,徳島県,美馬市
墨,7,gifu,ogaki,岐阜県,大垣市
薄,4,toyama,toyama,富山県,富山市
楚,1,gunma,numata,群馬県,沼田市
発,29,hokkaido,nishi,北海道,札幌市西区
語,2,gunma,numata,群馬県,沼田市
父,22,aichi,inazawa,愛知県,稲沢市
硯,3,kumamoto,kita,熊本県,熊本市北区
楊,2,mie,kumano,三重県,熊野市
那,71,gifu,kagamihara,岐阜県,各務原市
組,6,kyoto,higashiyama,京都府,京都市東山区
喰,3,chiba,yokoshibahikari,千葉県,山武郡横芝光町
次,14,shimane,unnan,島根県,雲南市
街,7,iwate,ichinoseki,岩手県,一関市
曳,3,aomori,tohoku,青森県,上北郡東北町
傍,1,gunma,tatebayashi,群馬県,館林市
示,2,ishikawa,kanazawa,石川県,金沢市
工,7,wakayama,wakayama,和歌山県,和歌山市
祖,58,tokushima,miyoshi,徳島県,三好市
壁,1,gunma,shibukawa,群馬県,渋川市
鮎,17,hyogo,sumoto,兵庫県,洲本市
埜,3,chiba,inzai,千葉県,印西市
譲,1,gunma,fujioka,群馬県,藤岡市
染,18,hyogo,miki,兵庫県,三木市
蚊,2,ishikawa,kanazawa,石川県,金沢市
農,5,hokkaido,nakafurano,北海道,空知郡中富良野町
君,9,hiroshima,miyoshi,広島県,三次市
匠,12,oita,saiki,大分県,佐伯市
蛇,2,aichi,tokoname,愛知県,常滑市
箇,2,fukuoka,sawara,福岡県,福岡市早良区
義,13,gunma,tomioka,群馬県,富岡市
岳,8,nagasaki,sasebo,長崎県,佐世保市
蕨,2,yamagata,yuza,山形県,飽海郡遊佐町
仁,34,hokkaido,kushiro,北海道,釧路市
衙,1,gunma,annaka,群馬県,安中市
料,6,hokkaido,asahikawa,北海道,旭川市
峠,13,miyagi,marumori,宮城県,伊具郡丸森町
軒,19,hokkaido,nishi,北海道,札幌市西区
在,16,osaka,sakai,大阪府,堺市堺区
人,15,kagoshima,kirishima,鹿児島県,霧島市
簗,3,tochigi,utsunomiya,栃木県,宇都宮市
懸,4,gunma,midori,群馬県,みどり市
楢,20,akita,akita,秋田県,秋田市
魚,8,hyogo,akashi,兵庫県,明石市
磐,16,fukushima,iwaki,福島県,いわき市
車,12,osaka,sakai,大阪府,堺市堺区
慶,6,fukushima,kitakata,福島県,喜多方市
造,66,aomori,tsugaru,青森県,つがる市
轟,1,gunma,kanra,群馬県,甘楽郡甘楽町
蟻,3,nagano,matsumoto,長野県,松本市
条,381,hokkaido,asahikawa,北海道,旭川市
応,9,hiroshima,kure,広島県,呉市
干,24,hyogo,himeji,兵庫県,姫路市
摺,3,fukuoka,chikushino,福岡県,筑紫野市
築,41,miyagi,kurihara,宮城県,栗原市
糸,3,chiba,kimitsu,千葉県,君津市
額,8,ishikawa,kanazawa,石川県,金沢市
橡,1,gunma,showa,群馬県,利根郡昭和村
施,3,chiba,kashiwa,千葉県,柏市
桧,2,akita,senboku,秋田県,仙北市
嶋,14,miyagi,kami,宮城県,加美郡加美町
離,2,hyogo,suma,兵庫県,神戸市須磨区
籾,2,chiba,narashino,千葉県,習志野市
萱,5,osaka,kawachinagano,大阪府,寝屋川市
鶉,6,gifu,gifu,岐阜県,岐阜市
狸,1,gunma,ora,群馬県,邑楽郡邑楽町
番,110,niigata,chuo,新潟県,新潟市中央区
タ,5,aomori,gonohe,青森県,三戸郡五戸町
パ,4,hokkaido,asahikawa,北海道,旭川市
ク,4,aichi,kiyosu,愛知県,清須市
叶,1,tochigi,utsunomiya,栃木県,宇都宮市
欠,5,miyagi,kami,宮城県,加美郡加美町
籠,10,osaka,sakai,大阪府,堺市堺区
刈,10,kagoshima,isa,鹿児島県,伊佐市
瓦,9,osaka,sakai,大阪府,堺市堺区
業,5,hokkaido,asahikawa,北海道,旭川市
鐺,1,tochigi,utsunomiya,栃木県,宇都宮市
逆,5,chiba,kashiwa,千葉県,柏市
伝,4,aichi,okazaki,愛知県,岡崎市
郎,20,aichi,inazawa,愛知県,稲沢市
刑,2,tochigi,utsunomiya,栃木県,宇都宮市
兵,6,saga,saga,佐賀県,佐賀市
庫,9,hyogo,amagasaki,兵庫県,尼崎市
冬,2,oita,bungoono,大分県,豊後大野市
幕,2,chiba,hanamigawa,千葉県,千葉市花見川区
操,2,aichi,yatomi,愛知県,弥富市
ど,3,hyogo,kita,兵庫県,神戸市北区
免,25,nagasaki,saza,長崎県,北松浦郡佐々町
杜,2,miyagi,natori,宮城県,名取市
鵤,1,tochigi,ashikaga,栃木県,足利市
樺,5,hokkaido,obihiro,北海道,帯広市
垂,4,mie,yokkaichi,三重県,四日市市
借,1,tochigi,ashikaga,栃木県,足利市
昌,2,iwate,morioka,岩手県,盛岡市
迫,6,iwate,hanamaki,岩手県,花巻市
学,56,kyoto,sakyo,京都府,京都市左京区
椚,2,miyagi,kesennuma,宮城県,気仙沼市
梁,21,fukushima,date,福島県,伊達市
芳,18,okayama,ibara,岡山県,井原市
県,14,nagasaki,tsushima,長崎県,対馬市
梓,4,nagano,matsumoto,長野県,松本市
流,13,hokkaido,iwamizawa,北海道,岩見沢市
祝,4,ehime,matsuyama,愛媛県,松山市
静,4,kyoto,sakyo,京都府,京都市左京区
畳,2,gifu,gifu,岐阜県,岐阜市
巣,8,miyagi,taiwa,宮城県,黒川郡大和町
伯,21,shimane,yasugi,島根県,安来市
薗,7,mie,ise,三重県,伊勢市
臼,7,chiba,sakura,千葉県,佐倉市
戦,3,fukushima,shirakawa,福島県,白河市
升,2,niigata,nishikan,新潟県,新潟市西蒲区
仕,2,miyagi,tome,宮城県,登米市
帯,7,hokkaido,obihiro,北海道,帯広市
刀,19,shimane,unnan,島根県,雲南市
蛭,3,saitama,kasukabe,埼玉県,春日部市
湊,24,osaka,sakai,大阪府,堺市堺区
倭,8,hyogo,minamiawaji,兵庫県,南あわじ市
会,43,fukushima,aidsuwakamatsu,福島県,会津若松市
く,2,tokyo,machida,東京都,町田市
鐙,1,tochigi,sano,栃木県,佐野市
申,2,aichi,nagakute,愛知県,長久手市
袴,2,tokyo,machida,東京都,町田市
彦,20,yamaguchi,shimonoseki,山口県,下関市
鉢,3,tochigi,nikko,栃木県,日光市
飛,27,aichi,konan,愛知県,江南市
苧,1,tochigi,kanuma,栃木県,鹿沼市
油,11,yamaguchi,nagato,山口県,長門市
晃,1,tochigi,kanuma,栃木県,鹿沼市
跡,3,osaka,izumisano,大阪府,八尾市
楡,2,gifu,wanouchi,岐阜県,安八郡輪之内町
化,1,tochigi,kanuma,栃木県,鹿沼市
樅,1,tochigi,kanuma,栃木県,鹿沼市
セ,13,fukushima,nihonmatsu,福島県,二本松市
宕,4,aomori,gonohe,青森県,三戸郡五戸町
掛,7,shimane,unnan,島根県,雲南市
洞,30,gifu,gifu,岐阜県,岐阜市
才,4,niigata,nagaoka,新潟県,長岡市
猪,18,iwate,morioka,岩手県,盛岡市
荊,1,tochigi,nikko,栃木県,日光市
沓,2,fukui,tsuruga,福井県,敦賀市
祠,1,tochigi,nikko,栃木県,日光市
独,1,tochigi,nikko,栃木県,日光市
鈷,1,tochigi,nikko,栃木県,日光市
垣,26,kyoto,kyotanabe,京都府,京田辺市
蔭,2,wakayama,wakayama,和歌山県,和歌山市
挾,23,oita,yufu,大分県,由布市
無,7,kagawa,takamatsu,香川県,高松市
暁,1,tochigi,oyama,栃木県,小山市
宅,25,kyoto,yamashina,京都府,京都市山科区
鏡,19,kochi,kochi,高知県,高知市
薬,8,miyagi,kami,宮城県,加美郡加美町
寒,224,hokkaido,kushiro,北海道,釧路市
拝,3,ehime,saijo,愛媛県,西条市
駄,2,miyagi,kesennuma,宮城県,気仙沼市
卒,2,aomori,shichinohe,青森県,上北郡七戸町
椅,1,tochigi,oyama,栃木県,小山市
扶,1,tochigi,oyama,栃木県,小山市
峯,44,kyoto,kita,京都府,京都市北区
瓜,2,fukui,echizen,福井県,越前市
條,11,yamanashi,nirasaki,山梨県,韮崎市
旅,26,osaka,sakai,大阪府,堺市堺区
骨,2,tokyo,edogawa,東京都,江戸川区
狭,13,hyogo,aioi,兵庫県,相生市
親,4,hokkaido,ishikari,北海道,石狩市
練,1,tochigi,otawara,栃木県,大田原市
蜂,9,gifu,minokamo,岐阜県,美濃加茂市
実,4,miyagi,kami,宮城県,加美郡加美町
紫,86,kyoto,kita,京都府,京都市北区
余,27,shiga,nagahama,滋賀県,長浜市
両,3,kyoto,fushimi,京都府,京都市伏見区
こ,2,yamagata,yamagata,山形県,山形市
館,44,miyagi,kurihara,宮城県,栗原市
ご,1,tochigi,nasushiobara,栃木県,那須塩原市
区,139,fukushima,minamisoma,福島県,南相馬市
遅,8,fukui,katsuyama,福井県,勝山市
墾,1,tochigi,nasushiobara,栃木県,那須塩原市
結,3,hyogo,toyooka,兵庫県,豊岡市
埼,16,saga,kanzaki,佐賀県,神埼市
鴫,2,kyoto,nishikyo,京都府,京都市西京区
接,1,tochigi,nasushiobara,栃木県,那須塩原市
蟇,1,tochigi,nasushiobara,栃木県,那須塩原市
箭,1,tochigi,nasushiobara,栃木県,那須塩原市
氏,2,tochigi,sakura,栃木県,さくら市
卯,2,aichi,agui,愛知県,知多郡阿久比町
櫻,2,shiga,yasu,滋賀県,野洲市
狹,1,tochigi,sakura,栃木県,さくら市
フ,2,kyoto,fushimi,京都府,京都市伏見区
ィ,2,saitama,misato,埼玉県,三郷市
オ,1,tochigi,sakura,栃木県,さくら市
レ,1,tochigi,sakura,栃木県,さくら市
積,13,fukushima,koriyama,福島県,郡山市
桶,8,aichi,midori,愛知県,名古屋市緑区
興,28,kyoto,kyotanabe,京都府,京田辺市
鴻,10,hokkaido,monbetsu,北海道,紋別市
枕,2,aichi,konan,愛知県,江南市
医,2,niigata,chuo,新潟県,新潟市中央区
烏,3,chiba,kisaradsu,千葉県,木更津市
祇,2,fukuoka,yahatahigashi,福岡県,北九州市八幡東区
教,2,osaka,izumisano,大阪府,八尾市
主,25,fukuoka,kurume,福岡県,久留米市
功,1,tochigi,kaminokawa,栃木県,河内郡上三川町
汗,2,tochigi,kaminokawa,栃木県,河内郡上三川町
う,4,iwate,ichinoseki,岩手県,一関市
益,14,hokkaido,ishikari,北海道,石狩市
椎,10,fukuoka,higashi,福岡県,福岡市東区
続,3,aichi,minami,愛知県,名古屋市南区
給,2,chiba,ichinomiya,千葉県,長生郡一宮町
ぼ,3,shimane,masuda,島根県,益田市
壬,5,tochigi,mibu,栃木県,下都賀郡壬生町
丁,455,osaka,sakai,大阪府,堺市堺区
丙,7,fukushima,aidsubange,福島県,河沼郡会津坂下町
お,4,chiba,nagareyama,千葉県,流山市
ゃ,1,tochigi,mibu,栃木県,下都賀郡壬生町
至,1,tochigi,mibu,栃木県,下都賀郡壬生町
産,2,niigata,nagaoka,新潟県,長岡市
潤,1,tochigi,nogi,栃木県,下都賀郡野木町
肘,2,nara,nara,奈良県,奈良市
健,2,kumamoto,higashi,熊本県,熊本市東区
盛,14,nagasaki,isahaya,長崎県,諫早市
段,6,kyoto,ukyo,京都府,京都市右京区
司,7,yamaguchi,shimonoseki,山口県,下関市
皇,1,tokyo,chiyoda,東京都,千代田区
苑,6,hokkaido,ishikari,北海道,石狩市
塀,1,tokyo,chiyoda,東京都,千代田区
淡,14,hyogo,kita,兵庫県,神戸市北区
駿,3,shizuoka,aoi,静岡県,静岡市葵区
隼,15,kagoshima,kirishima,鹿児島県,霧島市
麹,1,tokyo,chiyoda,東京都,千代田区
紀,18,mie,kumano,三重県,熊野市
蛎,1,tokyo,chuo,東京都,中央区
殻,1,tokyo,chuo,東京都,中央区
兜,3,hokkaido,toyotomi,北海道,天塩郡豊富町
留,29,hokkaido,kitami,北海道,北見市
虎,2,gifu,tajimi,岐阜県,多治見市
信,33,nagano,nagano,長野県,長野市
伎,6,shimane,izumo,島根県,出雲市
揚,2,kumamoto,yatsushiro,熊本県,八代市
払,3,hokkaido,sarufutsu,北海道,宗谷郡猿払村
納,63,gifu,gifu,岐阜県,岐阜市
箪,1,tokyo,shinjuku,東京都,新宿区
笥,1,tokyo,shinjuku,東京都,新宿区
改,11,gifu,gifu,岐阜県,岐阜市
筋,7,wakayama,wakayama,和歌山県,和歌山市
雷,6,miyagi,kami,宮城県,加美郡加美町
束,8,shimane,matsue,島根県,松江市
夢,30,hyogo,himeji,兵庫県,姫路市
牡,1,tokyo,koto,東京都,江東区
辰,3,hiroshima,kure,広島県,呉市
巳,2,hokkaido,bibai,北海道,美唄市
好,15,fukushima,iwaki,福島県,いわき市
澄,10,hokkaido,minami,北海道,札幌市南区
先,2,aichi,kiyosu,愛知県,清須市
洗,3,aomori,noheji,青森県,上北郡野辺地町
碑,1,tokyo,meguro,東京都,目黒区
自,4,hyogo,miki,兵庫県,三木市
祐,2,saga,saga,佐賀県,佐賀市
空,12,hokkaido,sunagawa,北海道,砂川市
糀,3,tokyo,ota,東京都,大田区
調,36,hiroshima,onomichi,広島県,尾道市
令,6,yamaguchi,hofu,山口県,防府市
砧,2,tokyo,setagaya,東京都,世田谷区
弦,1,tokyo,setagaya,東京都,世田谷区
豪,1,tokyo,setagaya,東京都,世田谷区
経,5,toyama,uozu,富山県,魚津市
鶯,1,tokyo,shibuya,東京都,渋谷区
濤,1,tokyo,shibuya,東京都,渋谷区
庵,2,fukushima,aidsuwakamatsu,福島県,会津若松市
要,3,miyagi,kesennuma,宮城県,気仙沼市
支,3,hokkaido,saroma,北海道,紋別郡遠軽町
舎,18,hiroshima,miyoshi,広島県,三次市
皿,2,saitama,yoshikawa,埼玉県,吉川市
臨,4,niigata,higashi,新潟県,新潟市東区
柚,3,nagasaki,sasebo,長崎県,佐世保市
裏,9,kyoto,ukyo,京都府,京都市右京区
弐,1,tokyo,hachioji,東京都,八王子市
鑓,1,tokyo,hachioji,東京都,八王子市
企,1,tokyo,hachioji,東京都,八王子市
散,1,tokyo,hachioji,東京都,八王子市
廿,2,aomori,hachinohe,青森県,八戸市
壱,2,saitama,ageo,埼玉県,上尾市
祥,90,kyoto,minami,京都府,京都市南区
牟,7,aichi,toyohashi,愛知県,豊橋市
礼,6,hokkaido,furano,北海道,富良野市
是,2,aomori,hachinohe,青森県,八戸市
磨,58,hyogo,himeji,兵庫県,姫路市
図,7,kyoto,kamigyo,京都府,京都市上京区
忠,11,hokkaido,asahikawa,北海道,旭川市
回,1,tokyo,kodaira,東京都,小平市
願,3,toyama,toyama,富山県,富山市
恋,2,tokyo,kokubunji,東京都,国分寺市
芋,45,miyagi,kami,宮城県,加美郡加美町
畔,5,hokkaido,ishikari,北海道,石狩市
火,11,kumamoto,uki,熊本県,宇城市
止,3,wakayama,wakayama,和歌山県,和歌山市
残,1,tokyo,musashimurayama,東京都,武蔵村山市
乞,1,tokyo,tama,東京都,多摩市
継,2,tokyo,akiruno,東京都,あきる野市
む,1,tokyo,mizuho,東京都,西多摩郡瑞穂町
嶽,4,miyagi,tome,宮城県,登米市
数,2,aomori,tohoku,青森県,上北郡東北町
差,2,saitama,kawaguchi,埼玉県,川口市
式,1,tokyo,nijima,東京都,新島村
錆,1,tokyo,kozushimamura,東京都,神津島村
智,9,gifu,ena,岐阜県,恵那市
糠,2,chiba,kimitsu,千葉県,君津市
砲,2,miyagi,miyagino,宮城県,仙台市宮城野区
処,1,tokyo,kozushimamura,東京都,神津島村
秩,1,tokyo,kozushimamura,東京都,神津島村
焼,13,hiroshima,kure,広島県,呉市
鴎,1,tokyo,kozushimamura,東京都,神津島村
葱,1,tokyo,kozushimamura,東京都,神津島村
着,2,hyogo,himeji,兵庫県,姫路市
樫,47,kyoto,nishikyo,京都府,京都市西京区
硫,1,tokyo,ogasawara,東京都,小笠原村
聟,1,tokyo,ogasawara,東京都,小笠原村
プ,4,hokkaido,asahikawa,北海道,旭川市
ザ,2,fukushima,inawashiro,福島県,耶麻郡猪苗代町
判,4,oita,oita,大分県,大分市
釘,6,wakayama,wakayama,和歌山県,和歌山市
遊,2,toyama,nanto,富山県,南砺市
盆,1,saitama,kita,埼玉県,さいたま市北区
栽,1,saitama,kita,埼玉県,さいたま市北区
櫛,10,osaka,sakai,大阪府,堺市堺区
ェ,2,miyagi,wakuya,宮城県,遠田郡涌谷町
膝,2,saitama,asaka,埼玉県,朝霞市
心,72,oita,usa,大分県,宇佐市
開,15,ehime,saijo,愛媛県,西条市
鍬,5,iwate,miyako,岩手県,宮古市
蕃,2,kyoto,kamigyo,京都府,京都市上京区
孫,3,chiba,abiko,千葉県,我孫子市
慈,4,shiga,omihachiman,滋賀県,近江八幡市
釣,2,saitama,iwatsuki,埼玉県,さいたま市岩槻区
わ,2,yamagata,yamagata,山形県,山形市
郭,1,saitama,kawagoe,埼玉県,川越市
鯨,2,saitama,kawagoe,埼玉県,川越市
的,3,saitama,kawagoe,埼玉県,川越市
飼,38,iwate,takizawa,岩手県,滝沢市
体,2,iwate,oshu,岩手県,奥州市
財,5,kagawa,mitoyo,香川県,三豊市
冑,1,saitama,kumagaya,埼玉県,熊谷市
屈,1,saitama,kumagaya,埼玉県,熊谷市
男,14,kyoto,yawata,京都府,八幡市
稜,1,saitama,kumagaya,埼玉県,熊谷市
威,5,osaka,yao,大阪府,茨木市
俵,4,kyoto,kamigyo,京都府,京都市上京区
拾,3,fukuoka,nishi,福岡県,福岡市西区
鳩,3,saitama,kawaguchi,埼玉県,川口市
爪,3,gifu,gifu,岐阜県,岐阜市
鋏,1,saitama,kawaguchi,埼玉県,川口市
源,2,aichi,handa,愛知県,半田市
忍,3,saitama,gyoda,埼玉県,行田市
側,5,kyoto,higashiyama,京都府,京都市東山区
柱,9,aichi,toyohashi,愛知県,豊橋市
贄,1,saitama,chichibu,埼玉県,秩父市
茜,11,gifu,gifu,岐阜県,岐阜市
征,1,saitama,hanno,埼玉県,飯能市
颪,1,saitama,hanno,埼玉県,飯能市
縫,1,saitama,hanno,埼玉県,飯能市
直,10,hokkaido,kushiro,北海道,釧路市
秀,2,chiba,abiko,千葉県,我孫子市
種,11,hyogo,shiso,兵庫県,宍粟市
杓,2,fukuoka,moji,福岡県,北九州市門司区
記,2,aichi,nishio,愛知県,西尾市
鉾,6,kyoto,shimogyo,京都府,京都市下京区
割,31,iwate,fudai,岩手県,下閉伊郡普代村
遣,3,saitama,kazo,埼玉県,加須市
茎,2,saitama,kazo,埼玉県,加須市
児,25,saitama,honjo,埼玉県,本庄市
凍,1,saitama,higashimatsuyama,埼玉県,東松山市
順,1,saitama,kasukabe,埼玉県,春日部市
衾,1,saitama,kasukabe,埼玉県,春日部市
珠,7,hokkaido,higashi,北海道,札幌市東区
銚,1,saitama,kasukabe,埼玉県,春日部市
院,122,oita,usa,大分県,宇佐市
兼,3,hiroshima,higashihiroshima,広島県,東広島市
エ,3,aomori,gonohe,青森県,三戸郡五戸町
電,1,saitama,kounosu,埼玉県,鴻巣市
済,3,saitama,fukaya,埼玉県,深谷市
起,6,iwate,oshu,岩手県,奥州市
計,2,saitama,fukaya,埼玉県,深谷市
血,1,saitama,fukaya,埼玉県,深谷市
挽,2,wakayama,wakayama,和歌山県,和歌山市
普,24,kyoto,kyotanabe,京都府,京田辺市
戒,5,kyoto,minami,京都府,京都市南区
畠,7,ishikawa,kanazawa,石川県,金沢市
葺,1,saitama,ageo,埼玉県,上尾市
ウ,7,tokushima,miyoshi,徳島県,三好市
鍵,3,gifu,gifu,岐阜県,岐阜市
陸,12,aichi,inazawa,愛知県,稲沢市
隊,1,saitama,asaka,埼玉県,朝霞市
駐,1,saitama,asaka,埼玉県,朝霞市
屯,17,hokkaido,kita,北海道,札幌市北区
甫,1,saitama,kuki,埼玉県,久喜市
狐,2,aichi,yatomi,愛知県,弥富市
垳,1,saitama,yashio,埼玉県,八潮市
ほ,2,saitama,fujimi,埼玉県,富士見市
采,2,saitama,misato,埼玉県,三郷市
シ,6,hokkaido,kushiro,北海道,釧路市
テ,2,saitama,misato,埼玉県,三郷市
